readiness_item,current_status,passed,blocking,severity,threshold,actual_value,blocker_type,dependency,remediation_action,prerequisite_task,estimated_path,can_be_resolved_by_waiting,can_be_resolved_by_manual_review,can_be_resolved_by_index_cache,can_be_resolved_by_metadata,can_be_resolved_by_nav_iopv,can_be_resolved_by_factor_config,notes
candidate_eligible_count,blocked,False,True,high,> 0,0/269,candidate_gate,candidate_gate + candidate_unblock_plan,do not form candidates until candidate gate has eligible rows,"clear short-history/manual-review/no-used-factor blockers, then rerun build-candidate-gate",candidate gate must be rebuilt from clean governance reports,False,False,False,False,False,False,eligible=0 means no ETF can enter 008B candidate construction
factor_gate_status,blocked_for_strategy_use,False,True,high,passed_for_candidate_research,blocked_for_strategy_use,factor_gate,factor_score_gate.csv,keep factor score observation-only until all blocking gate rows pass,"fix source coverage, short-history bias, no-used-factors, and factor coverage, then rerun compute-factor-score",all factor_score_gate blocking rows must pass,False,False,False,False,False,False,does not change qa-check exit code or current strategy
min_computable_ratio,blocked,False,True,high,>= 0.80,0.4800 (24/50),coverage,factor_score_report.csv,Keep factor score as an observation report until broad enough coverage exists.,improve factor source coverage and rerun compute-factor-score,computable_ratio >= 0.80,False,False,False,False,False,False,score_computable_count=24; total_symbols=50
max_unable_to_score_ratio,blocked,False,True,high,<= 0.20,0.5200 (26/50),no_used_factors,factor_score_report.csv,"Treat no_used_factors as unscoreable, not as a low score.",restore at least one enabled factor per affected ETF,unable_to_score_ratio <= 0.20,False,False,False,False,False,False,no_used_factors=26
short_history_bias,blocked,False,True,high,count = 0; must not cover all scoreable symbols,24/24 (1.0000),short_history,data_quality_diagnosis + candidate_gate,Require enough price history before producing an independent candidate strategy.,rerun diagnose-data-quality / candidate gate / factor score after row counts mature,scoreable sample no longer dominated by short_history or insufficient_rows,True,False,False,False,False,False,24 of 24 scoreable symbols have short history or insufficient_rows quality flags.
no_used_factors,blocked,False,True,high,0 no_used_factors rows or within gate tolerance,26/50; unable_to_score_ratio=0.5200,no_used_factors,factor_score_report.csv + factor_score_detail.csv,restore genuine factor evidence; never fill missing indicators with zero,fix source dependencies or config only after source evidence is real,each candidate has at least one enabled factor with factor_status=used,False,False,False,False,False,False,"no_used_factors is unscoreable evidence, not bearish evidence"
tracking_error_dependency,blocked,False,True,high,factor used count > 0 and usable_benchmark_count > 0,tracking_error_used=0; coverage=0.0000; usable_benchmark_count=6,benchmark_dependency,etf_metrics + index_data_coverage + index_cache,build schema-valid benchmark/index cache before enabling benchmark-relative factors,diagnose-index-source -> update-index-data -> compute-etf-metrics -> compute-factor-score,usable_benchmark_count > 0 and metric coverage passes factor gate,False,False,True,False,False,False,source_unavailable=50
relative_return_dependency,blocked,False,True,high,factor used count > 0 and usable_benchmark_count > 0,relative_return_60d_used=0; coverage=0.0000; usable_benchmark_count=6,benchmark_dependency,etf_metrics + index_data_coverage + index_cache,build schema-valid benchmark/index cache before enabling benchmark-relative factors,diagnose-index-source -> update-index-data -> compute-etf-metrics -> compute-factor-score,usable_benchmark_count > 0 and metric coverage passes factor gate,False,False,True,False,False,False,source_unavailable=50
discount_premium_dependency,blocked,False,True,high,trusted NAV/IOPV data produces discount_premium,discount_premium_used=0; coverage=0.0000,nav_iopv_dependency,NAV/IOPV source + etf_metrics,add trusted NAV or IOPV source; exchange prices alone cannot create discount/premium,"source NAV/IOPV, recompute ETF metrics, then rerun factor score",discount_premium factor_status becomes used for enough ETFs,False,False,False,False,True,False,source_unavailable=50
fund_size_dependency,warning,False,False,warning,metadata coverage >= 0.80 and factor enabled only after coverage is confirmed,metadata_coverage=0.0000; factor_status=disabled,metadata_dependency,etf_metadata_coverage + factor config,keep metadata factors disabled until coverage is independently confirmed,"update ETF metadata, verify coverage, then review config/factor_score.yaml",metadata coverage sufficient before enabling size or fee factors,False,False,False,True,False,True,warning only while disabled; do not impute metadata values
management_fee_dependency,warning,False,False,warning,metadata coverage >= 0.80 and factor enabled only after coverage is confirmed,metadata_coverage=0.0000; factor_status=disabled,metadata_dependency,etf_metadata_coverage + factor config,keep metadata factors disabled until coverage is independently confirmed,"update ETF metadata, verify coverage, then review config/factor_score.yaml",metadata coverage sufficient before enabling size or fee factors,False,False,False,True,False,True,warning only while disabled; do not impute metadata values
factor_coverage_minimum,blocked,False,True,high,score_computable_count >= 30; min enabled factor coverage >= 0.80,score_computable_count=24; min_factor=discount_premium:0.0000,coverage,factor_score_audit + factor_score_gate,Raise source coverage and sample size before entering ETF-GAP-008B.,"fix source dependencies, wait for history, then rerun factor score gate",score_computable_count >= 30 and min enabled factor coverage >= 0.80,True,False,True,True,True,False,avg_amount_20=0.4800; data_completeness=0.4800; discount_premium=0.0000; max_drawdown_60d=0.4800; momentum_120d=0.0000; momentum_20d=0.2600; momentum_60d=0.2600; relative_return_60d=0.0000; tracking_error=0.0000; volatility_20d=0.3200
manual_review_required,blocked,False,True,high,0 manual-review blockers,5,manual_review,manual_review_list.csv,complete manual review; do not auto-unblock suspicious rows,human review of abnormal return / low liquidity / very short history evidence,manual_review_list is clear and candidate gate is rerun,False,True,False,False,False,False,manual review cannot be cleared by factor scoring
benchmark_dependency,passed,True,False,info,usable_benchmark_count > 0,6,benchmark_dependency,index_data_coverage + index_cache,rerun diagnose-index-source and update-index-data in network-enabled controlled environment,"schema-valid index cache, then compute-etf-metrics and factor score",usable benchmark cache exists before 007B/008B benchmark factors,False,False,True,False,False,False,also blocks ETF-GAP-007B
metadata_dependency,warning,False,False,warning,metadata-dependent factors confirmed before enablement,50 affected,metadata_dependency,etf_metadata_coverage,enrich metadata before enabling fund_size or management_fee,update-etf-metadata and verify coverage; config review required before enabling,metadata factors remain disabled until coverage is trustworthy,False,False,False,True,False,True,warning=50
