run_id,checked_at,symbol,check_type,endpoint,proxy_env_detected,http_proxy,https_proxy,akshare_call,adjust,success,status_code,row_count,error_type,error_message,elapsed_ms,retry_count,diagnosis,suggested_action
source_diag_20260514_174354,2026-05-14T17:43:54+08:00,,proxy_env,,False,,,,,True,,0,,,0,0,no_proxy_env_detected,proxy environment variables are not the immediate cause
source_diag_20260514_174354,2026-05-14T17:43:54+08:00,510300,akshare_sina,,False,,,fund_etf_hist_sina,unknown,True,,1782,,,1336,0,ok,source path is reachable in this diagnostic run
source_diag_20260514_174354,2026-05-14T17:43:56+08:00,510300,akshare_em_qfq,https://push2his.eastmoney.com/api/qt/stock/kline/get,False,,,fund_etf_hist_em,qfq,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510300 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1338,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:43:57+08:00,510300,akshare_em_none,https://push2his.eastmoney.com/api/qt/stock/kline/get,False,,,fund_etf_hist_em,none,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.510300 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1347,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:43:58+08:00,510300,raw_endpoint_probe,https://push2his.eastmoney.com/api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510300,False,,,,qfq,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510300 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1368,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:44:00+08:00,159915,akshare_sina,,False,,,fund_etf_hist_sina,unknown,True,,1781,,,397,0,ok,source path is reachable in this diagnostic run
source_diag_20260514_174354,2026-05-14T17:44:00+08:00,159915,akshare_em_qfq,https://push2his.eastmoney.com/api/qt/stock/kline/get,False,,,fund_etf_hist_em,qfq,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=0.159915 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1367,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:44:02+08:00,159915,akshare_em_none,https://push2his.eastmoney.com/api/qt/stock/kline/get,False,,,fund_etf_hist_em,none,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=0.159915 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1645,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:44:03+08:00,159915,raw_endpoint_probe,https://push2his.eastmoney.com/api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=0.159915,False,,,,qfq,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=0.159915 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1421,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:44:05+08:00,560320,akshare_sina,,False,,,fund_etf_hist_sina,unknown,True,,1,,,314,0,ok,source path is reachable in this diagnostic run
source_diag_20260514_174354,2026-05-14T17:44:05+08:00,560320,akshare_em_qfq,https://push2his.eastmoney.com/api/qt/stock/kline/get,False,,,fund_etf_hist_em,qfq,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.560320 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1328,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:44:06+08:00,560320,akshare_em_none,https://push2his.eastmoney.com/api/qt/stock/kline/get,False,,,fund_etf_hist_em,none,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.560320 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1338,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
source_diag_20260514_174354,2026-05-14T17:44:08+08:00,560320,raw_endpoint_probe,https://push2his.eastmoney.com/api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.560320,False,,,,qfq,False,,0,ProxyError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.560320 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",1371,0,proxy_or_network_blocked,inspect HTTP_PROXY/HTTPS_PROXY/ALL_PROXY and test EastMoney reachability outside AKShare
