symbol,name,source_candidate,api_name,adjust,fetch_success,failure_reason,start_date,end_date,row_count,latest_expected_date,end_date_gap_days,missing_required_columns,abnormal_return_count,max_abs_return,max_return_date,duplicate_dates_count,missing_values_count,zero_amount_days,schema_valid,quality_passed,quality_reason,close_overlap_days,max_abs_close_diff_vs_sina,max_abs_return_diff_vs_sina,preferred_candidate,preference_reason,safe_to_promote,requires_manual_review,notes
510300,华泰柏瑞沪深300ETF,sina_unknown,fund_etf_hist_sina,unknown,True,,2019-01-02,2026-05-13,1782,2026-05-14,1,,0,0.0940811579219436,2024-09-30,0,0,0,True,True,,1782,0.0,0.0,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,temp_csv=data\source_eval\source_eval_20260514_152941\510300_sina_unknown.csv; evaluation only; formal cache not modified
510300,华泰柏瑞沪深300ETF,em_qfq,fund_etf_hist_em,qfq,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510300 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510300 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
510300,华泰柏瑞沪深300ETF,em_none,fund_etf_hist_em,none,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.510300 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.510300 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
510500,南方中证500ETF,sina_unknown,fund_etf_hist_sina,unknown,True,,2019-01-02,2026-05-13,1782,2026-05-14,1,,0,0.12742382271468145,2022-08-29,0,0,0,True,True,,1782,0.0,0.0,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,temp_csv=data\source_eval\source_eval_20260514_152941\510500_sina_unknown.csv; evaluation only; formal cache not modified
510500,南方中证500ETF,em_qfq,fund_etf_hist_em,qfq,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510500 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510500 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
510500,南方中证500ETF,em_none,fund_etf_hist_em,none,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.510500 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.510500 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
159915,易方达创业板ETF,sina_unknown,fund_etf_hist_sina,unknown,True,,2019-01-02,2026-05-13,1781,2026-05-14,1,,0,0.19999999999999996,2024-09-30,0,0,4,True,True,volume contains zero or negative values; amount contains zero or negative values,1781,0.0,0.0,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,temp_csv=data\source_eval\source_eval_20260514_152941\159915_sina_unknown.csv; evaluation only; formal cache not modified
159915,易方达创业板ETF,em_qfq,fund_etf_hist_em,qfq,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=0.159915 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=0.159915 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
159915,易方达创业板ETF,em_none,fund_etf_hist_em,none,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=0.159915 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=0.159915 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
588000,华夏科创50ETF,sina_unknown,fund_etf_hist_sina,unknown,True,,2020-11-16,2026-05-13,1329,2026-05-14,1,,0,0.19999999999999996,2024-10-08,0,0,0,True,True,,1329,0.0,0.0,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,temp_csv=data\source_eval\source_eval_20260514_152941\588000_sina_unknown.csv; evaluation only; formal cache not modified
588000,华夏科创50ETF,em_qfq,fund_etf_hist_em,qfq,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.588000 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.588000 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
588000,华夏科创50ETF,em_none,fund_etf_hist_em,none,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.588000 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.588000 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
510880,华泰柏瑞红利ETF,sina_unknown,fund_etf_hist_sina,unknown,True,,2019-01-02,2026-05-13,1782,2026-05-14,1,,0,0.09336332958380189,2020-02-03,0,0,0,True,True,,1782,0.0,0.0,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,temp_csv=data\source_eval\source_eval_20260514_152941\510880_sina_unknown.csv; evaluation only; formal cache not modified
510880,华泰柏瑞红利ETF,em_qfq,fund_etf_hist_em,qfq,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510880 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.510880 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
510880,华泰柏瑞红利ETF,em_none,fund_etf_hist_em,none,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.510880 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=0&beg=20190101&end=20260514&secid=1.510880 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
512880,国泰中证全指证券公司ETF,sina_unknown,fund_etf_hist_sina,unknown,True,,2019-01-02,2026-05-13,1782,2026-05-14,1,,0,0.1003976143141152,2024-09-30,0,0,0,True,True,,1782,0.0,0.0,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,temp_csv=data\source_eval\source_eval_20260514_152941\512880_sina_unknown.csv; evaluation only; formal cache not modified
512880,国泰中证全指证券公司ETF,em_qfq,fund_etf_hist_em,qfq,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.512880 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",,,0,2026-05-14,0,,0,,,0,0,0,False,False,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&beg=20190101&end=20260514&secid=1.512880 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",0,,,sina_unknown,em_qfq failed; keep existing Sina fallback evidence,False,False,evaluation only; formal cache not modified
